a,b,c,d,k,y
70.4,611.72,2679.33,-0.11653056759730432,0.4087650040970158,-980438.5155831685
297.79,172.91,8986.7,-0.668901381591714,0.9067807068825349,1343907.651546305
213.93,423.22,1505.5,-0.5736679091940804,0.8627495839491609,-617078.3457725098
39.25,353.36,8332.22,-0.14450506049745482,0.7309696501687672,2070210.2848029053
5.95,-174.07,3210.43,-0.1573361132169752,-0.1751418697377892,-770945.3417337299
156.88,555.67,2175.12,-0.8550103089879921,0.33970194596932135,-953204.5278190895
55.83,265.79,7027.48,0.02960021357918685,0.5438690741172001,1373329.4410401764
57.61,67.73,1830.87,-0.011028029596483913,2.1522958704745854,91891.10748482995
49.13,420.16,7530.42,-0.16067087207066783,1.190035306759561,1928212.4807692934
73.07,-395.96,1484.8,-1.592766655157912,-0.23051157538805156,-1685817.441811432
25.32,571.97,2153.19,-0.6057472313554088,1.055794763351856,-1058541.8304074348
99.87,641.05,4252.92,-2.135345600217045,1.4867858780695953,-151028.7826201194
66.96,-139.46,5238.99,-0.15159782589313955,0.8288724842413766,-866808.8299202495
234.73,404.64,2184.3,0.2090908930036186,1.4276243572933336,-262107.45648021565
8.16,195.13,8510.85,-2.0189741514133064,0.6682721548303517,1394135.0469146422
216.85,-366.95,2159.12,-0.17769029635022435,0.5485342305414561,-1734990.1466221765
261.47,-435.71,4989.81,-0.8187927051233005,1.1484724674873699,-3503762.483112906
134.37,594.75,5535.97,0.0126542288621313,0.29145636495330685,816431.1749839793
236.47,381.51,2054.28,-0.5372655430912273,0.1805336486233469,-235565.4243674164
49.66,475.72,7502.55,-1.6036705463336525,0.9527696931270176,1984667.4040204813
133.96,536.58,5360.52,-0.43156089646869433,0.78937727859118,860718.5520287753
74.46,-350.72,1440.9,-0.022607991871536365,1.2551291777427895,-1366389.9968044849
35.09,-129.17,8750.91,-0.4901498571991432,0.09767364132424108,-1247209.3997133982
199.35,-214.0,8770.59,-0.45598589721617705,0.19708973974143312,-2197796.404906402
252.9,-277.51,8903.96,-1.2470872613016974,0.3678964460898236,-3011124.1274317927
237.27,186.23,5648.35,-1.3267347037561927,1.305879752484863,808018.2447486907
53.31,-389.0,1556.09,-0.05815440039264222,0.15132233290785355,-1664576.8679493477
61.98,513.02,3935.67,-1.6660663091375523,1.9615801757032427,176387.39732808038
221.84,-364.82,8093.13,-1.777749263054459,0.2242553704029041,-3885570.3423231775
261.01,255.15,5610.81,-0.234901610131858,1.8417690597934708,975672.5164570909
41.62,-417.28,8376.75,-1.4207359003433138,0.6831714076629247,-4714515.409314212
120.52,-456.8,4213.21,-0.36511583483234644,1.3448985622846354,-3385412.4495497113
239.56,563.41,1439.58,-1.18588308856777,0.9243262397737797,-1411936.7796075074
17.77,-442.89,6429.54,-0.5044808515994519,0.553235928220023,-4220671.370968061
84.97,567.06,5541.79,-0.6590400928507684,0.6605579603489935,891431.905774314
180.54,181.1,3575.43,-0.6002679808947268,1.0321460550210146,417550.1494524989
149.14,380.86,1589.05,-0.36107679262037545,0.22783281256576488,-410363.29366318946
122.42,6.72,1521.92,-1.0394732076085593,0.7192485121534474,9465.570712316152
74.23,-495.37,3607.93,-1.6191179137863148,2.2231377629406146,-3505423.364726643
240.04,453.37,1340.72,-1.8544098726927603,0.022396979663868583,-832524.6610907157
112.79,-259.27,3655.64,-1.696416513196047,0.7554336713883923,-1419013.927915363
134.16,-102.32,5433.81,-0.18174825309069548,0.6153201131343145,-629358.554017836
253.21,-380.28,8077.63,-0.35968587240907446,1.5011547947237254,-4084370.5305475607
120.38,-159.85,8131.76,-1.2950046758539677,1.1701851811790422,-1479272.3450079167
219.91,-348.04,8920.46,-0.37422032541792394,0.7366056454305403,-3952888.031204773
178.81,272.34,3405.85,0.1477752534354213,0.11558283042676348,408458.17006965284
106.9,-298.09,9552.86,-0.9893841873481571,2.2850932011156204,-3469987.552954673
202.74,166.71,3425.98,0.009444452900177966,0.41216255659040446,376606.2627239062
252.13,-408.57,7293.74,-1.4262775751951215,0.4409943547199589,-4149767.7647521487
198.86,-11.24,3428.88,-1.166381131133467,-0.16919032256306954,-40235.950581557154
294.55,98.52,7704.64,-0.10550428472411418,0.48491412933364075,691008.9870663949
230.72,-467.79,7610.13,-0.39908691051037415,2.1329604140149936,-5092058.148441487
140.6,-492.82,820.6,-0.9874787775815755,0.6058960706870796,-2104995.037112221
214.67,-397.49,3602.27,-0.05824345544283235,0.37066454128796666,-2537898.183923432
244.09,542.47,2988.2,-0.35923841700234516,1.3381284268347566,-439214.3751208066
172.96,372.5,7011.54,0.004089978870917721,0.19814044592060778,1640507.3767278618
272.96,-246.94,1175.92,-0.40861174895955893,0.051163953834234596,-717627.5437538049
10.29,-124.01,6840.2,-1.4093218916464065,0.8165168545813748,-955953.5366545544
208.03,-224.56,6079.76,0.036178976272564875,1.8170831155242768,-1718234.8523510827
141.29,293.79,9052.72,-1.0713868550990027,1.6444913432708324,2054879.6208417448
8.03,-199.31,7803.35,-1.632110618465524,1.4184291113038232,-1833403.9547231628
118.82,-252.68,6026.43,-0.6466892101097377,0.3310568184496756,-1969957.5653754217
130.64,-293.6,2457.27,0.05064997656531656,1.4361479875278524,-1324837.958858106
268.51,-103.69,7165.82,-0.8796931595903891,1.874688275930743,-819113.1963722125
110.83,385.14,3011.49,-0.24142168175140183,1.215060864582083,121421.60677418417
195.23,361.19,6084.26,-1.1089902698497585,0.10759764155792095,1283609.0368128496
86.16,507.28,2264.73,-0.4898195387871864,0.24154515751134903,-652626.4699297595
191.15,218.07,2501.63,-0.710012325175952,0.5686693944342843,212173.59697709608
293.71,241.37,1908.79,-0.13119093138558052,1.6628816703438298,52773.231624602915
168.5,31.69,3225.6,-2.1436388536499793,1.420685133695954,93924.3745883499
42.08,-161.84,6267.02,-0.8083618530317902,1.2568742648942672,-1197719.5804219483
285.24,-453.96,9388.51,-0.950165296587351,-0.10220900918146181,-5705513.837384119
251.96,-359.67,1578.58,-0.034204289754200146,0.02278469719799788,-1473335.5945244287
225.45,305.18,8381.75,-0.13269484508056803,0.9481325236827125,1905893.8144785427
265.53,-370.78,2977.94,-0.7295135588763068,0.05824042251154071,-2067183.021431372
174.56,525.64,7298.64,-0.12888046537726072,0.22815292883069496,1902296.4999931992
12.5,7.49,9782.83,-2.712252216940852,0.6231386370896896,72763.80232304044
174.76,-262.53,5373.95,-1.7542808637245133,1.309629550089647,-1894350.9742655295
67.84,666.9,6131.0,-0.6758178235063954,0.9223580884312947,975313.755132924
32.9,587.99,9196.55,-1.225621380683333,1.1749855381833927,2987211.8894200674
44.77,466.87,3923.33,-0.6533788845703724,0.8554754887271939,305809.1592909259
186.32,-56.76,8482.77,-2.118195557472709,0.4250732494112576,-505414.0177015704
264.76,290.36,1701.93,-2.43298044064574,0.38947856907011935,-98242.82353377175
15.83,625.63,3731.86,-1.0220107937954497,1.6712205684067478,-405184.54809564044
82.12,-126.22,7606.15,-0.19011733566953753,0.12797774176564328,-1071623.3226674427
195.76,677.83,5128.95,-0.6052859593463761,0.21337801197701672,259966.94151179283
64.76,387.1,3971.51,-1.2241995300613338,0.7097928426827238,488169.0093787618
197.37,99.94,1553.31,-0.4769942170990854,1.1171701442584006,84991.84503213777
175.91,-140.1,5825.62,-1.126050953776019,0.4269904336107461,-954258.6095388078
273.08,-112.02,4888.99,0.11517108604256648,2.130790628742309,-635393.692739653
119.72,-384.31,6671.62,-1.1454555200885042,0.5856218945304245,-3598309.5378037356
250.17,520.99,4524.5,-0.8516990343159985,0.7724032134192519,456459.1339628619
188.75,279.46,6295.92,-0.6494726699808328,0.050916600271403274,1212343.6693013858
